task,default_time,optimized_time
STACK_Q14-065,0.0647,0.057
STACK_Q14-172,0.457,0.342
STACK_Q14-006,0.5948,0.442
STACK_Q14-076,0.346,0.346
STACK_Q14-094,0.4869,0.3197
STACK_Q14-009,0.7012,0.6537
STACK_Q14-127,0.6392,0.3735
STACK_Q14-013,0.6264,0.2405
STACK_Q14-026,0.3865,0.3865
STACK_Q15-481,0.2026,0.2026
STACK_Q15-260,0.2522,0.2522
STACK_Q15-776,0.3104,0.3004
STACK_Q15-603,0.375,0.375
STACK_Q15-786,0.2061,0.2061
STACK_Q15-034,0.0914,0.0913
STACK_Q15-132,0.2747,0.2747
STACK_Q15-745,0.2151,0.2151
STACK_Q15-875,0.3092,0.3092
STACK_Q15-289,0.2083,0.2083
STACK_Q15-760,0.2329,0.2329
STACK_Q15-606,0.3234,0.3112
STACK_Q15-620,0.3752,0.3752
STACK_Q15-713,0.2479,0.2479
STACK_Q15-742,0.3231,0.3231
STACK_Q15-359,0.5392,0.5392
STACK_Q15-321,0.3952,0.3952
STACK_Q16-0544,0.2342,0.2342
STACK_Q16-0875,0.2657,0.2556
STACK_Q16-0492,0.1849,0.1829
STACK_Q16-0090,0.202,0.202
STACK_Q16-0366,0.2968,0.2968
STACK_Q16-0696,0.195,0.1828
STACK_Q16-0827,0.2131,0.2117
STACK_Q16-0469,0.1911,0.1911
STACK_Q16-0814,0.3624,0.3624
STACK_Q16-0727,0.2567,0.2446
STACK_Q16-0907,0.1819,0.1819
STACK_Q16-0796,0.2421,0.2421
STACK_Q16-0092,0.22,0.22
STACK_Q16-0899,0.3865,0.3136
STACK_Q16-0911,0.2538,0.2484
STACK_Q16-0427,0.2228,0.2177
STACK_Q16-0446,0.2581,0.2576
