query,generated_plan,default_plan_mean_ms,default_plan_std_ms,generated_plan_mean_ms,generated_plan_std_ms,absolute_advantage_ms,relative_advantage,n_runs,default_plan_all_runtimes_ms,generated_plan_all_runtimes_ms,default_statuses,generated_statuses,default_has_error_or_oom,default_has_timeout
(aka_name )(char_name )(info_type )(name (gender random))(title (production_year < 0937)),"[1, 2, 1, 20, 1, 12, 1, 6, 1, 5, 1, 6, 1, 5, 1, 2, 1, 3, 1, 15, 1, 9, 8, 13, 3, 8]",21426.1621,620.0076,2180.6657,26.9907,19245.4964,9.825514,5,"20520.43,21317.54,21632.09,21420.30,22240.44","2173.05,2182.59,2175.35,2149.00,2223.34","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name (name most_popular))(info_type )(role_type )(title ),"[1, 1, 1, 20, 1, 12, 1, 11, 1, 17, 1, 18, 1, 5, 1, 6, 1, 15, 1, 9, 1, 4, 1, 13, 1, 8, 1, 17, 1, 11]",19192.5856,441.4235,480.032,5.1391,18712.5536,39.981887,5,"18414.41,19445.06,19308.03,19318.22,19477.20","481.06,472.84,483.87,485.41,476.98","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(cast_info (nr_order < last))(char_name )(info_type )(name )(title ),"[1, 7, 1, 20, 1, 12, 1, 10, 1, 11, 1, 12, 1, 6, 1, 5, 1, 15, 1, 9, 1, 5, 1, 13, 1, 3, 1, 13]",13302.9187,261.6333,549.2692,5.6828,12753.6494,24.219304,5,"13301.00,13187.90,12969.55,13683.07,13373.07","554.46,555.04,546.91,548.61,541.33","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(cast_info (nr_order != last))(char_name )(info_type )(name )(title ),"[1, 1, 1, 20, 1, 12, 1, 10, 1, 11, 1, 12, 1, 6, 1, 5, 1, 15, 1, 9, 1, 5, 1, 13, 1, 17, 1, 11]",13292.6885,366.0529,552.7275,7.037,12739.961,24.049262,5,"13009.28,13696.73,13659.54,13188.59,12909.30","562.89,547.28,557.22,549.23,547.01","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(cast_info (nr_order < 0842))(char_name )(info_type )(name )(title ),"[1, 7, 1, 20, 1, 12, 1, 10, 1, 11, 1, 12, 1, 6, 1, 5, 1, 4, 1, 15, 1, 6, 1, 13, 1, 17, 1, 11]",13087.2527,1135.2608,522.3918,7.2113,12564.8608,25.052559,5,"12334.88,12401.90,12749.97,12872.40,15077.12","514.42,529.26,530.22,516.44,521.62","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name )(info_type )(name (gender random))(title (production_year < 0612)),"[1, 2, 1, 17, 1, 12, 1, 6, 1, 5, 1, 6, 1, 5, 1, 2, 1, 3, 1, 15, 1, 9, 8, 13, 3, 8]",14517.3787,403.7807,2025.093,25.4846,12492.2856,7.168747,5,"14374.56,14731.96,14750.53,14857.30,13872.55","2028.66,2034.89,2008.02,1993.85,2060.05","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name (name_pcode_nf most_popular))(info_type )(name (gender random))(title (production_year < last)),"[1, 1, 1, 20, 1, 12, 1, 10, 1, 3, 1, 12, 1, 6, 1, 5, 1, 15, 1, 9, 1, 5, 1, 13, 1, 3, 1, 13]",12715.3992,176.1566,501.4956,4.0655,12213.9036,25.354957,5,"12643.35,12524.03,12992.02,12655.41,12762.19","504.95,502.22,496.03,498.75,505.53","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(cast_info (nr_order != 0986))(char_name )(info_type )(name )(person_info )(title ),"[1, 2, 1, 20, 1, 7, 12, 1, 6, 12, 5, 6, 2, 5, 3, 2, 1, 3, 15, 17, 9, 15, 8, 9, 3, 8]",13527.3952,479.969,1823.1462,32.0013,11704.249,7.419808,5,"12892.26,13646.97,13538.48,13345.81,14213.46","1796.29,1832.84,1790.53,1870.15,1825.93","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name (name most_popular))(name )(person_info )(role_type )(title ),"[1, 1, 1, 14, 1, 20, 1, 12, 1, 15, 1, 11, 1, 6, 1, 5, 1, 9, 1, 15, 1, 6, 1, 9, 1, 13, 1, 3]",11808.857,670.707,466.3148,10.1873,11342.5421,25.323785,5,"11189.00,11256.67,12003.02,11752.63,12842.97","467.05,483.33,463.15,461.10,456.94","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name (name most_popular))(person_info )(role_type )(title ),"[1, 7, 1, 20, 1, 12, 1, 10, 1, 2, 1, 12, 1, 6, 1, 5, 1, 15, 1, 5, 1, 6, 1, 13, 1, 8, 1, 11]",11821.4262,318.9113,596.9001,11.8691,11224.5261,19.804699,5,"11953.24,12231.27,11512.31,11482.80,11927.50","584.35,600.20,611.30,584.98,603.67","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
