query,generated_plan,default_plan_mean_ms,default_plan_std_ms,generated_plan_mean_ms,generated_plan_std_ms,absolute_advantage_ms,relative_advantage,n_runs,default_plan_all_runtimes_ms,generated_plan_all_runtimes_ms,default_statuses,generated_statuses,default_has_error_or_oom,default_has_timeout
(aka_name )(complete_cast )(keyword )(person_info )(role_type )(title ),"[1, 7, 1, 20, 1, 12, 1, 2, 1, 11, 1, 10, 1, 5, 1, 6, 1, 12, 1, 5, 1, 15, 1, 9, 1, 5, 1, 4, 1, 6, 1, 13, 1, 3, 1, 13, 1, 8, 1, 11, 1, 11, 1, 17, 1, 11, 1, 10, 1, 11]",116918.0736,13573.1712,4303.6241,230.682,112614.4495,27.167353,5,"101948.90,110168.48,114886.73,119276.55,138309.71","4299.03,3922.51,4323.54,4474.46,4498.58","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name )(company_type )(complete_cast )(info_type )(name )(title ),"[1, 7, 1, 20, 1, 12, 1, 10, 1, 11, 1, 6, 1, 12, 1, 5, 1, 6, 1, 15, 1, 5, 1, 13, 1, 3, 1, 17]",30553.6088,1151.2912,1196.3774,75.2495,29357.2314,25.538437,5,"29526.07,29638.84,30494.14,30717.19,32391.80","1257.86,1108.55,1248.57,1119.82,1247.08","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(company_type )(movie_link )(person_info )(title ),"[1, 7, 1, 20, 1, 12, 1, 10, 1, 15, 1, 6, 1, 5, 1, 5, 1, 15, 1, 13, 1, 2, 1, 17, 1, 6, 1, 11]",43232.5324,6502.0375,1740.1111,8.4115,41492.4213,24.844696,5,"38471.57,41066.56,42298.99,39747.16,54578.39","1735.03,1736.45,1743.47,1732.36,1753.25","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(complete_cast )(keyword )(kind_type )(link_type )(person_info )(title ),"[1, 1, 20, 16, 1, 20, 1, 12, 1, 11, 1, 10, 1, 6, 1, 5, 1, 15, 1, 5, 1, 11, 1, 13, 1, 17, 1, 11]",300000.0,0.0,12301.2819,264.4698,287698.7181,24.387702,5,"300000.00,300000.00,300000.00,300000.00,300000.00","12441.29,12001.64,12475.07,12558.86,12029.55","error,timeout,timeout,timeout,timeout","complete,complete,complete,complete,complete",True,True
(aka_name )(company_type )(movie_link )(name )(person_info )(title ),"[1, 2, 1, 17, 1, 12, 1, 6, 1, 5, 1, 6, 1, 5, 1, 2, 1, 3, 1, 15, 1, 9, 8, 8, 3, 8]",42252.9664,5694.323,1753.6,58.6762,40499.3664,24.094986,5,"39069.06,40707.73,39515.39,39590.78,52381.87","1742.51,1849.65,1688.88,1747.32,1739.63","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(company_type )(keyword )(kind_type )(link_type )(name )(title ),"[1, 7, 1, 20, 1, 12, 1, 10, 1, 18, 1, 17, 1, 6, 1, 5, 1, 15, 1, 9, 1, 15, 1, 13, 1, 17, 1, 11]",175883.4828,20842.4872,7303.6077,190.5921,168579.8752,24.081727,5,"158930.65,167195.60,166941.90,174508.63,211840.64","7504.89,7241.15,7066.72,7211.28,7493.99","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name )(keyword )(link_type )(name )(person_info )(title ),"[1, 1, 1, 20, 1, 12, 1, 10, 1, 11, 1, 6, 1, 5, 1, 6, 1, 2, 1, 5, 1, 15, 1, 13, 1, 6, 1, 11]",152405.8589,23242.2247,6344.3113,49.9278,146061.5475,24.022443,5,"123062.55,140114.14,150172.20,164814.76,183865.64","6299.96,6304.11,6320.81,6398.27,6398.39","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name )(company_type )(complete_cast )(link_type )(person_info )(title ),"[1, 2, 1, 20, 1, 7, 1, 12, 1, 6, 1, 5, 1, 6, 1, 2, 1, 19, 1, 3, 1, 8, 15, 9, 8, 3]",72123.4996,2910.068,3008.4745,5.8068,69115.0251,23.973446,5,"73744.98,75879.15,68698.43,69823.93,72471.02","3009.19,3001.05,3004.72,3011.41,3016.00","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name )(company_type )(complete_cast )(keyword )(movie_link )(name )(title ),"[1, 2, 1, 17, 1, 12, 1, 6, 1, 5, 1, 6, 1, 5, 1, 2, 1, 3, 1, 15, 1, 9, 8, 13, 3, 8]",300000.0,0.0,12803.1687,483.6832,287196.8313,23.431699,5,"300000.00,300000.00,300000.00,300000.00,300000.00","12900.56,12262.55,13523.20,12468.17,12861.36","timeout,timeout,timeout,timeout,timeout","complete,complete,complete,complete,complete",False,True
(aka_name )(company_type )(keyword )(movie_link )(title ),"[1, 7, 1, 20, 1, 12, 1, 10, 1, 11, 1, 6, 1, 5, 1, 12, 1, 5, 1, 15, 1, 9, 1, 2, 1, 17, 1, 11]",158671.3802,24488.6779,6804.7217,76.8112,151866.6584,23.317835,5,"125742.03,150902.85,150916.69,179725.17,186070.14","6760.49,6778.75,6714.86,6878.26,6891.25","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
