query,generated_plan,default_plan_mean_ms,default_plan_std_ms,generated_plan_mean_ms,generated_plan_std_ms,absolute_advantage_ms,relative_advantage,n_runs,default_plan_all_runtimes_ms,generated_plan_all_runtimes_ms,default_statuses,generated_statuses,default_has_error_or_oom,default_has_timeout
(aka_name )(char_name (name most_popular))(info_type )(role_type )(title ),"[1, 1, 1, 20, 1, 12, 1, 11, 1, 17, 1, 18, 1, 5, 1, 6, 1, 15, 1, 9, 1, 4, 1, 13, 1, 8, 1, 17, 1, 11]",19192.5856,441.4235,480.032,5.1391,18712.5536,39.981887,5,"18414.41,19445.06,19308.03,19318.22,19477.20","481.06,472.84,483.87,485.41,476.98","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name (name_pcode_nf most_popular))(info_type )(name (gender random))(title (production_year < last)),"[1, 1, 1, 20, 1, 12, 1, 10, 1, 3, 1, 12, 1, 6, 1, 5, 1, 15, 1, 9, 1, 5, 1, 13, 1, 3, 1, 13]",12715.3992,176.1566,501.4956,4.0655,12213.9036,25.354957,5,"12643.35,12524.03,12992.02,12655.41,12762.19","504.95,502.22,496.03,498.75,505.53","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name (name most_popular))(name )(person_info )(role_type )(title ),"[1, 1, 1, 14, 1, 20, 1, 12, 1, 15, 1, 11, 1, 6, 1, 5, 1, 9, 1, 15, 1, 6, 1, 9, 1, 13, 1, 3]",11808.857,670.707,466.3148,10.1873,11342.5421,25.323785,5,"11189.00,11256.67,12003.02,11752.63,12842.97","467.05,483.33,463.15,461.10,456.94","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(cast_info (nr_order < 0842))(char_name )(info_type )(name )(title ),"[1, 7, 1, 20, 1, 12, 1, 10, 1, 11, 1, 12, 1, 6, 1, 5, 1, 4, 1, 15, 1, 6, 1, 13, 1, 17, 1, 11]",13087.2527,1135.2608,522.3918,7.2113,12564.8608,25.052559,5,"12334.88,12401.90,12749.97,12872.40,15077.12","514.42,529.26,530.22,516.44,521.62","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(cast_info (nr_order < last))(char_name )(info_type )(name )(title ),"[18, 8, 1, 20, 1, 10, 1, 2, 1, 3, 1, 12, 1, 6, 1, 5, 1, 15, 1, 5, 1, 15, 1, 6, 1, 13, 1, 11]",13110.3958,183.6507,525.8384,4.3811,12584.5573,24.932366,5,"13129.34,13358.64,12987.50,12884.28,13192.22","523.66,522.75,530.59,521.64,530.55","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(cast_info (nr_order != last))(char_name )(info_type )(name )(title ),"[1, 1, 1, 20, 1, 12, 1, 10, 1, 11, 1, 12, 1, 6, 1, 5, 1, 15, 1, 9, 1, 5, 1, 13, 1, 17, 1, 11]",13292.6885,366.0529,552.7275,7.037,12739.961,24.049262,5,"13009.28,13696.73,13659.54,13188.59,12909.30","562.89,547.28,557.22,549.23,547.01","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name (name most_popular))(info_type )(name )(title ),"[1, 1, 1, 20, 1, 12, 1, 10, 1, 11, 1, 12, 1, 6, 1, 5, 1, 15, 1, 5, 1, 6, 1, 13, 1, 17, 1, 11]",10840.1127,317.379,467.9774,15.4292,10372.1354,23.163754,5,"11258.58,10642.93,10547.07,10651.86,11100.13","450.64,479.35,455.15,486.90,467.85","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name (name most_popular))(info_type )(person_info )(title ),"[1, 1, 1, 20, 1, 12, 1, 10, 1, 11, 1, 12, 1, 6, 1, 5, 1, 15, 1, 5, 1, 6, 1, 13, 1, 3, 1, 17]",10909.62,427.672,476.0397,14.7462,10433.5802,22.917456,5,"10324.75,10938.03,10751.88,11033.47,11499.97","463.36,473.24,475.38,501.00,467.23","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(cast_info (nr_order < last))(char_name )(name )(person_info )(title ),"[1, 7, 1, 20, 1, 12, 1, 10, 1, 11, 1, 6, 1, 5, 1, 6, 1, 5, 1, 15, 1, 2, 1, 17, 1, 6, 1, 11]",10856.7656,264.5484,476.8215,4.4682,10379.9441,22.769037,5,"10785.47,10645.36,10641.41,11278.65,10932.94","475.66,479.09,478.36,481.30,469.69","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(cast_info (nr_order != last))(char_name )(person_info )(title ),"[1, 1, 1, 20, 1, 12, 1, 10, 1, 3, 1, 12, 1, 6, 1, 5, 1, 15, 1, 9, 1, 6, 1, 13, 1, 17, 1, 11]",10759.9718,140.6892,472.832,4.2516,10287.1397,22.756437,5,"10733.21,10992.81,10757.44,10616.24,10700.16","469.00,474.83,467.88,477.97,474.48","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
